quest_id,name,category,level_min,level_max,race_requirements,class_requirements,repeatability,l2solo_runtime_status,bridge_compatibility,bot_resolution_mode,implementation_priority,confidence,implementation_cohort
44,Help the Son!,NORMAL,25,,[],[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,C
45,To Talking Island,NORMAL,3,,"[""Human""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
46,Once More In the Arms of the Mother Tree,NORMAL,3,,"[""Elf""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
47,Into the Dark Forest,NORMAL,3,,"[""Dark Elf""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
48,To the Immortal Plateau,NORMAL,3,,"[""Orc""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
49,The Road Home,NORMAL,3,,"[""Dwarf""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
50,Lanosco's Special Bait,FISHING,27,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,C
51,O'Fulle's Special Bait,FISHING,36,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,C
52,Willie's Special Bait,FISHING,48,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,E
53,Linnaeus' Special Bait,FISHING,60,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,E
70,"Succession to the Legend, Phoenix Knight",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
71,"Succession to the Legend, Eva's Templar",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
72,"Succession to the Legend, Sword Muse",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
73,"Succession to the Legend, Duelist",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
74,"Succession to the Legend, Dreadnoughts",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,H
75,"Succession to the Legend, Titan",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
76,"Succession to the Legend, Grand Khavatari",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
77,"Succession to the Legend, Dominator",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
78,"Succession to the Legend, Doomcryer",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
79,"Succession to the Legend, Adventurer",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
80,"Succession to the Legend, Wind Rider",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,H
81,"Succession to the Legend, Ghost Hunter",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
82,"Succession to the Legend, Sagittarius",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
83,"Succession to the Legend, Moonlight Sentinel",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
84,"Succession to the Legend, Ghost Sentinel",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
85,"Succession to the Legend, Cardinal",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,H
86,"Succession to the Legend, Hierophant",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,H
87,"Succession to the Legend, Eva's Saint",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
88,"Succession to the Legend, Archmage",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,H
89,"Succession to the Legend, Mystic Muse",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,H
90,"Succession to the Legend, Storm Screamer",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,H
91,"Succession to the Legend, Arcana Lord",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,H
92,"Succession to the Legend, Elemental Master",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,H
93,"Succession to the Legend, Spectral Master",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,H
94,"Succession to the Legend, Soultaker",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,H
95,"Succession to the Legend, Hell Knight",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,H
96,"Succession to the Legend, Spectral Dancer",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
97,"Succession to the Legend, Shillien Templar",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
98,"Succession to the Legend, Shillien Saint",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
99,"Succession to the Legend, Fortune Seeker",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
100,"Succession to the Legend, Maestro",PROFESSION,76,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,H
101,Sword of Solidarity,NORMAL,9,,"[""Human""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
102,Sea of Spores Fever,NORMAL,12,,"[""Elf""]",[],ONE_TIME,REGISTERED_UNTESTED,PARTIAL,HYBRID,LOW,HIGH,A
103,Spirit of Craftsman,NORMAL,11,,"[""Dark Elf""]",[],ONE_TIME,REGISTERED_UNTESTED,REQUIRES_EXTENSION,UNKNOWN,LOW,HIGH,A
104,Spirit of Mirrors,NORMAL,10,,"[""Human""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
105,Skirmish with the Orcs,NORMAL,10,,"[""Elf""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
106,Forgotten Truth,NORMAL,10,,"[""Dark Elf""]",[],ONE_TIME,REGISTERED_UNTESTED,PARTIAL,HYBRID,LOW,HIGH,A
107,Merciless Punishment,NORMAL,12,,"[""Orc""]",[],CONDITIONAL_OR_BRANCHING,IMPLEMENTED,REQUIRES_EXTENSION,HYBRID,LOW,HIGH,A
108,"Jumble, Tumble, Diamond Fuss",NORMAL,10,,"[""Dwarf""]",[],ONE_TIME,REGISTERED_UNTESTED,PARTIAL,HYBRID,LOW,HIGH,A
151,Cure for Fever Disease,NORMAL,15,,[],[],ONE_TIME,REGISTERED_UNTESTED,PARTIAL,HYBRID,LOW,HIGH,A
152,Shards of Golem,NORMAL,10,,[],[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
153,Deliver Goods,NORMAL,2,,[],[],ONE_TIME,REGISTERED_UNTESTED,PARTIAL,HYBRID,LOW,HIGH,A
154,Sacrifice to the Sea,NORMAL,2,,[],[],ONE_TIME,REGISTERED_UNTESTED,REQUIRES_EXTENSION,HYBRID,LOW,HIGH,A
155,Find Sir Windawood,NORMAL,3,,[],[],ONE_TIME,REGISTERED_UNTESTED,PARTIAL,HYBRID,LOW,HIGH,A
156,Millennium Love,NORMAL,15,,[],[],ONE_TIME,REGISTERED_UNTESTED,PARTIAL,HYBRID,LOW,HIGH,A
157,Recover Smuggled Goods,NORMAL,5,,[],[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
158,Seed of Evil,NORMAL,21,,[],[],ONE_TIME,REGISTERED_UNTESTED,REQUIRES_EXTENSION,UNKNOWN,LOW,HIGH,C
159,Protect the Water Source,NORMAL,12,,"[""Elf""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
160,Nerupa's Request,NORMAL,3,,"[""Elf""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
161,Fruit of the Mothertree,NORMAL,3,,"[""Elf""]",[],ONE_TIME,REGISTERED_UNTESTED,PARTIAL,HYBRID,LOW,HIGH,A
162,Curse of the Underground Fortress,NORMAL,12,,"[""Human"",""Elf"",""Dwarf"",""Orc""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
163,Legacy of the Poet,NORMAL,11,,"[""Human"",""Elf"",""Dwarf"",""Orc""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
164,Blood Fiend,NORMAL,21,,"[""Human"",""Elf"",""Dwarf"",""Orc""]",[],ONE_TIME,REGISTERED_UNTESTED,REQUIRES_EXTENSION,HYBRID,LOW,HIGH,C
165,Shilen's Hunt,NORMAL,3,,"[""Dark Elf""]",[],ONE_TIME,REGISTERED_UNTESTED,PARTIAL,HYBRID,LOW,HIGH,A
166,Mass of Darkness,NORMAL,2,,"[""Dark Elf"",""Human""]",[],ONE_TIME,REGISTERED_UNTESTED,PARTIAL,HYBRID,LOW,HIGH,A
167,Dwarven Kinship,NORMAL,15,,[],[],ONE_TIME,REGISTERED_UNTESTED,PARTIAL,HYBRID,LOW,HIGH,A
168,Deliver Supplies,NORMAL,3,,"[""Dark Elf""]",[],ONE_TIME,REGISTERED_UNTESTED,PARTIAL,HYBRID,LOW,HIGH,A
169,Offspring of Nightmares,NORMAL,15,,"[""Dark Elf""]",[],ONE_TIME,REGISTERED_UNTESTED,PARTIAL,HYBRID,LOW,HIGH,A
170,Dangerous Seduction,NORMAL,21,,"[""Dark Elf""]",[],ONE_TIME,REGISTERED_UNTESTED,PARTIAL,HYBRID,LOW,HIGH,C
171,Acts of Evil,NORMAL,27,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,C
211,Trial of the Challenger,PROFESSION,35,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
212,Trial of Duty,PROFESSION,35,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
213,Trial of the Seeker,PROFESSION,35,,[],"[""Rogue"",""Elven Scout"",""Assassin""]",ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
214,Trial of the Scholar,PROFESSION,35,,[],"[""Wizard"",""Elven Wizard"",""Dark Wizard""]",ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
215,Trial of the Pilgrim,PROFESSION,35,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
216,Trial of the Guildsman,PROFESSION,35,,[],"[""Artisan"",""Scavenger""]",ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
217,Testimony of Trust,PROFESSION,37,,"[""Human""]",[],ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
218,Testimony of Life,PROFESSION,37,,"[""Elf""]",[],ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
219,Testimony of Fate,PROFESSION,37,,"[""Dark Elf""]",[],ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
220,Testimony of Glory,PROFESSION,37,,"[""Orc""]",[],ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
221,Testimony of Prosperity,PROFESSION,37,,"[""Dwarf""]",[],ONE_TIME,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,D
222,Test of the Duelist,PROFESSION,39,,[],"[""Warrior"",""Orc Monk"",""Elven Knight"",""Palus Knight""]",ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
223,Test of the Champion,PROFESSION,39,,[],"[""Warrior"",""Orc Raider""]",ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
224,Test of Sagittarius,PROFESSION,39,,[],"[""Rogue"",""Elven Scout"",""Assassin""]",ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
225,Test of the Searcher,PROFESSION,39,,[],"[""Rogue"",""Elven Scout"",""Assassin"",""Scavenger""]",ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
226,Test of the Healer,PROFESSION,39,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
227,Test of the Reformer,PROFESSION,39,,[],"[""Cleric"",""Shillien Oracle""]",ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
228,Test of Magus,PROFESSION,39,,[],"[""Wizard"",""Elven Wizard"",""Dark Wizard""]",ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
229,Test of Witchcraft,PROFESSION,39,,[],"[""Wizard"",""Human Knight"",""Palus Knight""]",ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
230,Test of the Summoner,PROFESSION,39,,[],"[""Wizard"",""Elven Wizard"",""Dark Wizard""]",ONE_TIME,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,D
231,Test of the Maestro,PROFESSION,39,,[],"[""Artisan""]",ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
232,Test of the Lord,PROFESSION,39,,[],"[""Orc Shaman""]",ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,D
233,Test of the War Spirit,PROFESSION,39,,[],"[""Orc Shaman""]",ONE_TIME,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,D
234,Fate's Whisper,SYSTEM,75,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
235,Mimir's Elixir,SYSTEM,75,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
241,"Path of a Noblesse, Precious Soul - 1",SYSTEM,50,,[],[],CONDITIONAL_OR_BRANCHING,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
242,"Path of a Noblesse, Precious Soul - 2",SYSTEM,60,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,H
246,"Path of a Noblesse, Precious Soul - 3",SYSTEM,65,,[],[],CONDITIONAL_OR_BRANCHING,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
247,"Path of a Noblesse, Precious Soul - 4",SYSTEM,75,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,H
255,Tutorial,TUTORIAL,6,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,MEDIUM,A
257,The Guard is Busy,NORMAL,6,,[],[],REPEATABLE,MISSING,PARTIAL,COLD,HIGH,HIGH,A
258,Bring Wolf Pelts,NORMAL,3,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
259,Rancher's Plea,NORMAL,15,,[],[],REPEATABLE,MISSING,PARTIAL,COLD,HIGH,HIGH,A
260,Hunt the Orcs,NORMAL,6,,"[""Elf""]",[],REPEATABLE,MISSING,PARTIAL,COLD,HIGH,HIGH,A
261,Collector's Dream,NORMAL,15,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
262,Trade with the Ivory Tower,NORMAL,8,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
263,Orc Subjugation,NORMAL,8,,"[""Dark Elf""]",[],REPEATABLE,MISSING,PARTIAL,COLD,HIGH,HIGH,A
264,Keen Claws,NORMAL,3,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
265,Chains of Slavery,NORMAL,6,,"[""Dark Elf""]",[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
266,Pleas of Pixies,NORMAL,3,,"[""Elf""]",[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,A
267,Wrath of Verdure,NORMAL,4,,"[""Elf""]",[],REPEATABLE,MISSING,PARTIAL,COLD,HIGH,HIGH,A
271,Proof of Valor,NORMAL,4,,"[""Orc""]",[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
272,Wrath of Ancestors,NORMAL,5,,"[""Orc""]",[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,A
273,Invaders of the Holy Land,NORMAL,6,,"[""Orc""]",[],REPEATABLE,MISSING,PARTIAL,COLD,HIGH,HIGH,A
274,Skirmish with the Werewolves,NORMAL,9,,"[""Orc""]",[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
275,Dark Winged Spies,NORMAL,11,,"[""Orc""]",[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,A
276,Totem of the Hestui,NORMAL,15,,"[""Orc""]",[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,A
277,Gatekeeper's Offering,NORMAL,15,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
291,Revenge of the Redbonnet,NORMAL,4,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
292,Brigands Sweep,NORMAL,5,,"[""Dwarf""]",[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
293,The Hidden Veins,NORMAL,6,,"[""Dwarf""]",[],REPEATABLE,MISSING,PARTIAL,COLD,HIGH,HIGH,A
294,Covert Business,NORMAL,10,,"[""Dwarf""]",[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
295,Dreaming of the Skies,NORMAL,11,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
296,Tarantula's Spider Silk,NORMAL,15,,[],[],REPEATABLE,MISSING,PARTIAL,COLD,HIGH,HIGH,A
297,Gatekeeper's Favor,NORMAL,15,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
298,Lizardmen's Conspiracy,NORMAL,25,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,C
299,Gather Ingredients for Pie,NORMAL,34,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,C
300,Hunting Leto Lizardman,NORMAL,34,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,C
303,Collect Arrowheads,NORMAL,10,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
306,Crystals of Fire and Ice,NORMAL,17,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
313,Collect Spores,NORMAL,8,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
316,Destroy Plague Carriers,NORMAL,18,,"[""Elf""]",[],REPEATABLE,MISSING,PARTIAL,COLD,HIGH,HIGH,A
317,Catch the Wind,NORMAL,18,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
319,Scent of Death,NORMAL,11,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
320,Bones Tell the Future,NORMAL,10,,"[""Dark Elf""]",[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
324,Sweetest Venom,NORMAL,18,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
325,Grim Collector,NORMAL,15,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
326,Vanquish Remnants,NORMAL,21,,[],[],REPEATABLE,MISSING,PARTIAL,COLD,MEDIUM,HIGH,C
327,Recover the Farmland,NORMAL,25,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,C
328,Sense for Business,NORMAL,21,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,C
